0,0, 21,21,0,10261421,0,0, 33
-1485,4975, 6,6,0,-8655609,2,0, 57
-921,3085, 2,4,6,-8657055,0,0, 72
-572,1913, 2,2,2,-8659691,0,0, 82
-355,1187, 2,2,2,-8659951,0,0, 88
-221,736, 2,2,2,-8659925,0,0, 92
-138,457, 2,2,2,-8659966,0,0, 95
-86,284, 2,2,2,-8659996,0,0, 96
-54,177, 2,2,2,-8659974,0,0, 97
-34,110, 2,2,2,-8659917,0,0, 98
-22,69, 2,2,2,-8660011,0,0, 98
-14,43, 2,2,2,-8660134,0,0, 98
-9,27, 2,2,2,-8659813,0,0, 98
-6,17, 2,2,2,-8660021,1,0, 98
-4,11, 2,2,2,-8660111,0,0, 98
-3,7, 2,2,2,-8659968,0,0, 98
-2,5, 2,2,2,-8659985,0,0, 98
-2,4, 2,2,2,-8659939,0,0, 98
-2,3, 2,2,2,-8659947,0,0, 98
-2,2, 2,2,2,-8659846,1,0, 98
-2,2, 2,2,2,-8659887,0,0, 98
-2,2, 2,2,2,-8660154,0,0, 98
-2,2, 2,2,2,-8659886,0,0, 98
-2,2, 2,2,2,-8659963,0,0, 98
-2,2, 2,5,2,-8659525,0,0, 98
-2,2, 2,2,-7,-8659668,0,0, 98
-2,2, 2,5,-2,-8659838,0,0, 98
-2,2, 2,0,-3,-8659874,0,0, 98
-2,2, 2,0,-2,-8659913,0,0, 98
-2,2, 2,0,-2,-8659912,0,0, 98
-2,2, 2,0,-2,-8660077,0,0, 98
-2,2, 2,0,-2,-8659927,0,0, 98
-2,2, 2,0,-2,-8659867,0,0, 98
-2,2, 2,0,-2,-8659942,2,0, 98
-2,2, 2,0,-2,-8660032,1,0, 98
-2,2, 2,3,1,-8659928,0,0, 98
-2,2, 2,-1,-2,-8659886,0,0, 98
-2,2, 2,-1,-2,-8659951,0,0, 98
-2,2, 2,-1,-2,-8659968,0,0, 98
-2,2, 2,-1,-2,-8659878,2,0, 98
-2,2, 2,-1,-2,-8660078,0,0, 98
-2,2, 2,-1,-2,-8660171,0,0, 98
-2,2, 2,-1,-2,-8660134,0,0, 98
-2,2, 2,-1,-2,-8660013,2,0, 98
-2,2, 2,-1,-2,-8660136,0,0, 98
-2,2, 2,-1,-2,-8660050,0,0, 98
-2,2, 2,-1,-2,-8659970,0,0, 98
-2,2, 2,-1,-2,-8659926,0,0, 98
-2,2, 2,-1,-2,-8659917,0,0, 98
-2,2, 2,-1,-2,-8659877,0,0, 98
-2,2, 2,-1,-2,-8660005,0,0, 98
-2,2, 2,-1,-2,-8660072,0,0, 98
-2,2, 2,-1,-2,-8660095,0,0, 98
-2,2, 2,-1,-2,-8660110,0,0, 98
-2,2, 2,-1,-2,-8660066,0,0, 98
-2,2, 2,-1,-2,-8660083,0,0, 98
-2,2, 2,-1,-2,-8659948,0,0, 98
-2,2, 2,-1,-2,-8659871,0,0, 98
-2,2, 2,-1,-2,-8659773,0,0, 98
-2,2, 2,-1,-2,-8659346,0,0, 98
-2,2, 3,-1,-3,-8658359,1,0, 98
-2,2, 3,-1,-2,-8658346,1,0, 98
-2,2, 3,-1,-3,-8658544,0,0, 98
-2,2, 2,-1,-2,-8659310,0,0, 98
-2,2, 1,-1,10,-8658283,0,0, 98
-2,2, 1,-1,7,-8658093,0,0, 98
-2,2, 2,-1,2,-8658119,0,0, 98
-2,2, -2,-1,2,-8658521,0,0, 98
-2,2, -7,-1,2,-8657354,0,0, 98
-2,2, -8,-1,2,-8657958,0,0, 98
-2,2, -5,-1,2,-8658840,0,0, 98
-2,2, 1,-1,2,-8658374,0,0, 98
-2,2, 4,-1,2,-8658331,0,0, 98
133,-447, 13,0,-4,-8658247,1,0, 98
90,-278, 14,0,0,-8658627,0,0, 98
58,-218, 14,0,0,-8658522,-2,0, 98
36,-136, 8,0,0,-8658749,-1,0, 98
11,-127, 2,0,0,-8658308,0,0, 98
7,-79, 2,0,0,-8658441,0,0, 98
5,-49, 1,0,0,-8658201,-1,0, 98
4,-31, 0,0,0,-8658802,-1,0, 98
3,-20, 2,1,-8,-8658689,0,0, 98
19,-13, 5,1,-5,-8658268,-1,0, 98
-102,-681, 5,1,-5,-8658744,0,0, 98
-64,-423, 4,1,-4,-8658559,0,0, 98
-40,-263, 4,1,-5,-8658526,0,0, 98
-25,-164, 3,1,-4,-8658732,0,0, 98
-33,-102, 2,1,-8,-8658224,0,0, 98
-21,-64, 2,1,-5,-8658831,4,0, 98
-14,-40, 2,5,-4,-8658887,4,0, 98
-342,-1146, 2,-1,-3,-8659072,0,0, 98
-212,-743, 2,-1,-2,-8659291,-3,-1, 98
-132,-461, 2,-1,-2,-8658966,-1,0, 98
-82,-286, 2,-1,-2,-8658582,2,0, 98
-60,-215, 0,-1,-3,-8658299,1,0, 98
-55,-192, -1,-1,-4,-8658562,0,0, 98
-43,-152, -1,-1,-3,-8658157,0,0, 98
-36,-132, -1,-1,-2,-8658105,0,0, 98
-32,-125, -2,-1,-3,-8658379,1,-1, 98
-25,-107, -2,-1,-2,-8658013,0,0, 98
-23,-104, -2,-1,-3,-8658413,0,0, 98
-20,-103, -2,-1,-4,-8658519,3,0, 98
-12,-72, -2,-1,-3,-8658189,1,0, 98
-6,-64, -1,-1,-2,-8657951,0,0, 98
-6,-94, -1,0,-9,-8658091,1,0, 98
-2,-77, -1,0,-9,-8658073,0,0, 98
-2,-62, -1,0,-6,-8657515,0,0, 98
-8,-78, -2,0,-6,-8657720,1,0, 98
-9,-85, -2,0,-6,-8658015,0,0, 98
-9,-87, -2,0,-9,-8658000,0,0, 98
-9,-98, -2,0,-11,-8657978,0,0, 98
-10,-89, -3,0,-12,-8658060,1,0, 98
-10,-96, -3,0,-16,-8657769,-2,0, 98
-12,-99, -5,1,-23,-8657669,1,0, 154
-3,-61, -1,2,-23,-8657666,1,0, 134
-3,-52, -1,3,-20,-8657530,1,0, 176
-8,-71, -5,4,-30,-8657350,1,0, 202
-8,-70, -6,4,-31,-8657596,1,0, 218
-5,-66, -4,5,-32,-8657709,1,0, 228
-17,-120, -17,10,-69,-8657345,2,0, 234
-11,-101, -11,10,-58,-8658010,2,0, 238
-5,-86, -5,22,-51,-8657824,1,-3, 241
-4,-72, -4,-2,-12,-8657980,2,-7, 220
-10,-119, -12,-2,-51,-8658050,0,-14, 207
-6,-93, -6,2,-50,-8658164,1,-14, 199
-4,-78, -4,6,-49,-8657894,2,-21, 194
-3,-78, -3,6,-49,-8657722,2,-25, 159
-1,-59, -2,6,-39,-8657785,1,-27, 137
2,-55, 0,0,-28,-8657682,1,-27, 123
9,11, 5,3,-14,-8657852,0,-28, 115
6,-9, 4,4,-18,-8657946,2,-34, 110
7,-14, 5,4,-18,-8658234,2,-33, 107
8,-42, 5,7,-33,-8657877,2,-34, 105
9,-31, 5,7,-30,-8658196,2,-30, 104
8,-31, 5,7,-28,-8658290,1,-39, 103
8,-37, 5,7,-32,-8658075,-2,-40, 102
8,-43, 5,10,-29,-8658077,-1,-43, 102
7,-53, 4,8,-42,-8657926,2,-41, 102
6,-52, 4,8,-42,-8658113,0,-47, 102
5,-49, 4,8,-42,-8658142,3,-54, 102
5,-45, 5,9,-42,-8658306,4,-49, 102
5,-50, 5,9,-47,-8658438,3,-60, 102
4,-48, 5,9,-47,-8658499,2,-65, 102
4,-48, 5,9,-53,-8658593,4,-69, 102
3,-54, 4,9,-60,-8658777,5,-76, 102
3,-44, 4,9,-56,-8658812,5,-86, 102
4,-33, 5,9,-47,-8658794,3,-66, 102
3,-49, 5,13,-78,-8658394,18,-42, 102
5,-27, 4,13,-77,-8659040,-12,0, 102
5,-26, 5,13,-73,-8658423,-3,-14, 102
3,-46, 4,13,-79,-8658288,-1,-27, 102
1,-64, 4,14,-82,-8658791,-10,-21, 102
-4,-119, 3,15,-91,-8658873,-17,-66, 102
-8,-164, 2,13,-105,-8658564,-11,-40, 102
-3,-131, 3,13,-96,-8659027,-9,-29, 102
-1,-96, 3,14,-66,-8659650,-6,-29, 102
-1,-60, 2,5,-44,-8660156,-8,-26, 102
-1,-38, 2,4,-28,-8660700,-10,-22, 102
-1,-24, 2,3,-18,-8660800,-9,-17, 102
-1,-15, 2,2,-12,-8660945,-5,-24, 102
-1,-10, 2,2,-8,-8661335,-12,-22, 102
-1,-7, 2,2,-5,-8661508,-11,-19, 102
-1,-5, 2,2,-4,-8661320,-14,-22, 102
-1,-4, 2,2,-3,-8661061,-13,-23, 102
-1,-3, 2,2,-2,-8661014,-13,-25, 102
-1,-2, 2,2,-2,-8660812,-12,-28, 102
-1,-2, 2,2,-2,-8660915,-7,-27, 102
-1,-89, 13,6,-2,-8659698,-14,-32, 102
-1,-56, 9,4,-2,-8660968,-13,-27, 102
-1,-35, 6,3,-2,-8661049,-17,-30, 102
-1,-22, 4,2,-2,-8661148,-16,-31, 102
11,-34, 11,6,-4,-8659622,-18,-35, 102
7,-22, 7,4,-3,-8660589,-11,-29, 102
5,-14, 5,3,-2,-8661167,-11,-28, 102
4,-9, 4,2,-2,-8661223,-12,-31, 102
3,-6, 3,2,-2,-8661171,-11,-32, 102
2,-4, 2,2,-2,-8661183,-11,-29, 102
